["アサルト", "Assault"]
["緑のプレゼント箱＋", "Green Gift+"]
["スレッダグラン＋", "Gronnblade+"]
["グルンアウル＋", "Gronnowl+"]
["ナートグラン＋", "Gronnraven+"]
["ウルファグラン＋", "Gronnwolf+"]
["遠距離防御の弓＋", "Guard Bow+"]
["羽子板＋", "Hagoita+"]
["破魔矢＋", "Hama Ya+"]
["ハンマー＋", "Hammer+"]
["ハンドベル＋", "Handbell+"]
["倭鉾＋", "Harmonic Lance+"]
["貫きの槍＋", "Heavy Spear+"]
["ハイビスカスの本＋", "Hibiscus Tome+"]
["南国のジュース＋", "Juicy Wave+"]
["門松＋", "Kadomatsu+"]
["鏡餅＋", "Kagami Mochi+"]
["ブラーウルフ2＋", "Keen Blárwolf+"]
["グルンウルフ2＋", "Keen Gronnwolf+"]
["ラウアウルフ2＋", "Keen Rauðrwolf+"]
["キラーアクス＋", "Killer Axe+"]
["キラーボウ＋", "Killer Bow+"]
["キラーランス＋", "Killer Lance+"]
["キルソード＋", "Killing Edge+"]
["猫の暗器＋", "Kitty Paddle+"]
["ローローの斧＋", "Legion's Axe+"]
["ベビーキャロット＋", "Lethal Carrot+"]
["光のブレス＋", "Light Breath+"]
["雷のブレス＋", "Lightning Breath+"]
["リリスの浮き輪＋", "Lilith Floatie+"]
["スイカ割りの棍棒＋", "Melon Crusher+"]
["骨の弓＋", "Monstrous Bow+"]
["ペイン＋", "Pain+"]
["パニック＋", "Panic+"]
["秘毒の暗器＋", "Poison Dagger+"]
["ポールアクス＋", "Poleaxe+"]
["スレッダラウア＋", "Rauðrblade+"]
["ラウアアウル＋", "Rauðrowl+"]
["ナートラウア＋", "Rauðrraven+"]
["ウルファラウア＋", "Rauðrwolf+"]
["氷菓子の弓＋", "Refreshing Bolt+"]
["反攻の槍＋", "Reprisal Lance+"]
["レクスカリバー＋", "Rexcalibur+"]
["ホースキラー＋", "Ridersbane+"]
["盗賊の暗器＋", "Rogue Dagger+"]
["旭日の剣＋", "Ruby Sword+"]
["プレゼント袋＋", "Sack o' Gifts+"]
["守りの剣＋", "Safeguard+"]
["蒼海の槍＋", "Sapphire Lance+"]
["熱帯魚の本＋", "Sealife Tome+"]
["貝殻＋", "Seashell+"]
["貝殻の槍＋", "Shell Lance+"]
["シャイン＋", "Shine+"]
["銀の斧＋", "Silver Axe+"]
["銀の弓＋", "Silver Bow+"]
["銀の暗器＋", "Silver Dagger+"]
["銀の槍＋", "Silver Lance+"]
["銀の剣＋", "Silver Sword+"]
["キラーアクス2＋", "Slaying Axe+"]
["キラーボウ2＋", "Slaying Bow+"]
["キルソード2＋", "Slaying Edge+"]
["ハンマー2＋", "Slaying Hammer+"]
["キラーランス2＋", "Slaying Lance+"]
["貫きの槍2＋", "Slaying Spear+"]
["スロウ＋", "Slow+"]
["紫煙の暗器＋", "Smoke Dagger+"]
["ゴーストの魔道書＋", "Spectral Tome+"]
["ヒトデ＋", "Starfish+"]
["聖樹＋", "Tannenboom!+"]
["粛清の暗器＋", "The Cleaner+"]
["トロン＋", "Thoron+"]
["トマトの本＋", "Tomato Tome+"]
["トリレンマ＋", "Trilemma+"]
["水のブレス＋", "Water Breath+"]
["倭刀＋", "Wo Dao+"]
["倭棍＋", "Wo Gùn+"]
["斬馬刀＋", "Zanbato+"]
["アブゾーブ＋_神", "Absorb+"]
["アブゾーブ＋_幻", "Absorb+"]
["エタルド", "Alondite"]
["アミーテ", "Amiti"]
["愛のケーキサーバ＋_ATK", "Ardent Service+"]
["愛のケーキサーバ＋_AGI", "Ardent Service+"]
["愛のケーキサーバ＋_DEF", "Ardent Service+"]
["愛のケーキサーバ＋_RES", "Ardent Service+"]
["アルマーズ", "Armads"]
["アーマーキラー2＋_ATK", "Armorsmasher+"]
["アーマーキラー2＋_AGI", "Armorsmasher+"]
["アーマーキラー2＋_DEF", "Armorsmasher+"]
["アーマーキラー2＋_RES", "Armorsmasher+"]
["アーマーキラー2＋_無", "Armorsmasher+"]
["氷剣アウドムラ", "Audhulma"]
["オーラ_ATK", "Aura"]
["オーラ_AGI", "Aura"]
["オーラ_DEF", "Aura"]
["オーラ_RES", "Aura"]
["オーラ_絆", "Aura"]
["オーラ", "Aura"]
["瞬閃アイラの剣", "Ayra's Blade"]
["暗殺手裏剣＋_ATK", "Barb Shuriken+"]
["暗殺手裏剣＋_AGI", "Barb Shuriken+"]
["暗殺手裏剣＋_DEF", "Barb Shuriken+"]
["暗殺手裏剣＋_RES", "Barb Shuriken+"]
["バシリコス", "Basilikos"]
["バシリコス_ATK", "Basilikos"]
["バシリコス_AGI", "Basilikos"]
["バシリコス_DEF", "Basilikos"]
["バシリコス_RES", "Basilikos"]
["バシリコス_死", "Basilikos"]
["ビーチフラッグ＋_ATK", "Beach Banner+"]
["ビーチフラッグ＋_AGI", "Beach Banner+"]
["ビーチフラッグ＋_DEF", "Beach Banner+"]
["ビーチフラッグ＋_RES", "Beach Banner+"]
["宝剣ソフィア", "Beloved Zofia"]
["ベルクトの槍＋_ATK", "Berkut's Lance+"]
["ベルクトの槍＋_AGI", "Berkut's Lance+"]
["ベルクトの槍＋_DEF", "Berkut's Lance+"]
["ベルクトの槍＋_RES", "Berkut's Lance+"]
["狂斧アルマーズ", "Berserk Armads"]
["封印の剣_ATK", "Binding Blade"]
["封印の剣_AGI", "Binding Blade"]
["封印の剣_DEF", "Binding Blade"]
["封印の剣_RES", "Binding Blade"]
["封印の剣_切", "Binding Blade"]
["封印の剣", "Binding Blade"]
["ブラーアウル＋_ATK", "Blárowl+"]
["ブラーアウル＋_AGI", "Blárowl+"]
["ブラーアウル＋_DEF", "Blárowl+"]
["ブラーアウル＋_RES", "Blárowl+"]
["ブラーサーペント＋_ATK", "Blárserpent+"]
["ブラーサーペント＋_AGI", "Blárserpent+"]
["ブラーサーペント＋_DEF", "Blárserpent+"]
["ブラーサーペント＋_RES", "Blárserpent+"]
["烈剣デュランダル", "Blazing Durandal"]
["聖なるブーケ＋_ATK", "Blessed Bouquet+"]
["聖なるブーケ＋_AGI", "Blessed Bouquet+"]
["聖なるブーケ＋_DEF", "Blessed Bouquet+"]
["聖なるブーケ＋_RES", "Blessed Bouquet+"]
["ブリザード", "Blizzard"]
["青の卵＋_ATK", "Blue Egg+"]
["青の卵＋_AGI", "Blue Egg+"]
["青の卵＋_DEF", "Blue Egg+"]
["青の卵＋_RES", "Blue Egg+"]
["青のプレゼント箱＋_ATK", "Blue Gift+"]
["青のプレゼント箱＋_AGI", "Blue Gift+"]
["青のプレゼント箱＋_DEF", "Blue Gift+"]
["青のプレゼント箱＋_RES", "Blue Gift+"]
["ボルガノン＋_ATK", "Bolganone+"]
["ボルガノン＋_AGI", "Bolganone+"]
["ボルガノン＋_DEF", "Bolganone+"]
["ボルガノン＋_RES", "Bolganone+"]
["霧のブレス", "Breath of Fog"]
["霧のブレス_ATK", "Breath of Fog"]
["霧のブレス_AGI", "Breath of Fog"]
["霧のブレス_DEF", "Breath of Fog"]
["霧のブレス_RES", "Breath of Fog"]
["霧のブレス_絆", "Breath of Fog"]
["白き血の薙刀", "Bright Naginata"]
["ブリュンヒルデ_ATK", "Brynhildr"]
["ブリュンヒルデ_AGI", "Brynhildr"]
["ブリュンヒルデ_DEF", "Brynhildr"]
["ブリュンヒルデ_RES", "Brynhildr"]
["ブリュンヒルデ_追", "Brynhildr"]
["ブリュンヒルデ", "Brynhildr"]
["ビューレイスト", "Býleistr"]
["カミラの艶斧", "Camilla's Axe"]
["カミラの艶斧_ATK", "Camilla's Axe"]
["カミラの艶斧_AGI", "Camilla's Axe"]
["カミラの艶斧_DEF", "Camilla's Axe"]
["カミラの艶斧_RES", "Camilla's Axe"]
["カミラの艶斧_紋", "Camilla's Axe"]
["燭台＋_ATK", "Candelabra+"]
["燭台＋_AGI", "Candelabra+"]
["燭台＋_DEF", "Candelabra+"]
["燭台＋_RES", "Candelabra+"]
["キャンドル＋_神", "Candlelight+"]
["キャンドル＋_幻", "Candlelight+"]
["ニンジンの斧＋_ATK", "Carrot Axe+"]
["ニンジンの斧＋_AGI", "Carrot Axe+"]
["ニンジンの斧＋_DEF", "Carrot Axe+"]
["ニンジンの斧＋_RES", "Carrot Axe+"]
["ニンジンの槍＋_ATK", "Carrot Lance+"]
["ニンジンの槍＋_AGI", "Carrot Lance+"]
["ニンジンの槍＋_DEF", "Carrot Lance+"]
["ニンジンの槍＋_RES", "Carrot Lance+"]
["カサブランカ＋_ATK", "Casa Blanca+"]
["カサブランカ＋_AGI", "Casa Blanca+"]
["カサブランカ＋_DEF", "Casa Blanca+"]
["カサブランカ＋_RES", "Casa Blanca+"]
["クライネの弓＋_ATK", "Clarisse's Bow+"]
["クライネの弓＋_AGI", "Clarisse's Bow+"]
["クライネの弓＋_DEF", "Clarisse's Bow+"]
["クライネの弓＋_RES", "Clarisse's Bow+"]
["ヤシの実の弓＋_ATK", "Cocobow+"]
["ヤシの実の弓＋_AGI", "Cocobow+"]
["ヤシの実の弓＋_DEF", "Cocobow+"]
["ヤシの実の弓＋_RES", "Cocobow+"]
["キューピッドの矢＋_ATK", "Cupid Arrow+"]
["キューピッドの矢＋_AGI", "Cupid Arrow+"]
["キューピッドの矢＋_DEF", "Cupid Arrow+"]
["キューピッドの矢＋_RES", "Cupid Arrow+"]
["魔性の槍", "Cursed Lance"]
["シムベリン", "Cymbeline"]
["シムベリン_ATK", "Cymbeline"]
["シムベリン_AGI", "Cymbeline"]
["シムベリン_DEF", "Cymbeline"]
["シムベリン_RES", "Cymbeline"]
["シムベリン_絆", "Cymbeline"]
["扇子＋_ATK", "Dancer's Fan+"]
["扇子＋_AGI", "Dancer's Fan+"]
["扇子＋_DEF", "Dancer's Fan+"]
["扇子＋_RES", "Dancer's Fan+"]
["舞踏の輪＋_ATK", "Dancer's Ring+"]
["舞踏の輪＋_AGI", "Dancer's Ring+"]
["舞踏の輪＋_DEF", "Dancer's Ring+"]
["舞踏の輪＋_RES", "Dancer's Ring+"]
["楽譜＋_ATK", "Dancer's Score+"]
["楽譜＋_AGI", "Dancer's Score+"]
["楽譜＋_DEF", "Dancer's Score+"]
["楽譜＋_RES", "Dancer's Score+"]
["オーラ外伝", "Dark Aura"]
["闇のブレス＋_ATK", "Dark Breath+"]
["闇のブレス＋_AGI", "Dark Breath+"]
["闇のブレス＋_DEF", "Dark Breath+"]
["闇のブレス＋_RES", "Dark Breath+"]
["エクスカリバー外伝", "Dark Excalibur"]
["黒き血の大剣", "Dark Greatsword"]
["魔剣ミストルティン", "Dark Mystletainn"]
["義勇の槍", "Dauntless Lance"]
["義勇の槍_ATK", "Dauntless Lance"]
["義勇の槍_AGI", "Dauntless Lance"]
["義勇の槍_DEF", "Dauntless Lance"]
["義勇の槍_RES", "Dauntless Lance"]
["義勇の槍_構", "Dauntless Lance"]
["死神の暗器", "Deathly Dagger"]
["死神の暗器_ATK", "Deathly Dagger"]
["死神の暗器_AGI", "Deathly Dagger"]
["死神の暗器_DEF", "Deathly Dagger"]
["死神の暗器_RES", "Deathly Dagger"]
["死神の暗器_反", "Deathly Dagger"]
["魚を突いた銛＋_ATK", "Deft Harpoon+"]
["魚を突いた銛＋_AGI", "Deft Harpoon+"]
["魚を突いた銛＋_DEF", "Deft Harpoon+"]
["魚を突いた銛＋_RES", "Deft Harpoon+"]
["ダイムサンダ", "Dire Thunder"]
["聖書ナーガ", "Divine Naga"]
["聖剣ティルフィング", "Divine Tyrfing"]
["傭兵団の戦斧", "Draconic Poleax"]
["傭兵団の戦斧_ATK", "Draconic Poleax"]
["傭兵団の戦斧_AGI", "Draconic Poleax"]
["傭兵団の戦斧_DEF", "Draconic Poleax"]
["傭兵団の戦斧_RES", "Draconic Poleax"]
["傭兵団の戦斧_指", "Draconic Poleax"]
["デュランダル", "Durandal"]
["エッケザックス_ATK", "Eckesachs"]
["エッケザックス_AGI", "Eckesachs"]
["エッケザックス_DEF", "Eckesachs"]
["エッケザックス_RES", "Eckesachs"]
["エッケザックス_防", "Eckesachs"]
["エッケザックス", "Eckesachs"]
["エリヴァーガル", "Élivágar"]
["エクスカリバー_ATK", "Excalibur"]
["エクスカリバー_AGI", "Excalibur"]
["エクスカリバー_DEF", "Excalibur"]
["エクスカリバー_RES", "Excalibur"]
["エクスカリバー_絆", "Excalibur"]
["エクスカリバー", "Excalibur"]
["邪竜のブレス", "Expiration"]
["ファルシオン外伝", "Falchion"]
["ファルシオン_ATK", "Falchion"]
["ファルシオン_AGI", "Falchion"]
["ファルシオン_DEF", "Falchion"]
["ファルシオン_RES", "Falchion"]
["ファルシオン_紋", "Falchion"]
["ファルシオン覚醒_ATK", "Falchion"]
["ファルシオン覚醒_AGI", "Falchion"]
["ファルシオン覚醒_DEF", "Falchion"]
["ファルシオン覚醒_RES", "Falchion"]
["ファルシオン覚醒_絆", "Falchion"]
["ファルシオン外伝_ATK", "Falchion"]
["ファルシオン外伝_AGI", "Falchion"]
["ファルシオン外伝_DEF", "Falchion"]
["ファルシオン外伝_RES", "Falchion"]
["ファルシオン外伝_連", "Falchion"]
["ファルシオン", "Falchion"]
["ファルシオン覚醒", "Falchion"]
["フィアー＋_神", "Fear+"]
["フィアー＋_幻", "Fear+"]
["フェリシアの氷皿", "Felicia's Plate"]
["フェリシアの氷皿_ATK", "Felicia's Plate"]
["フェリシアの氷皿_AGI", "Felicia's Plate"]
["フェリシアの氷皿_DEF", "Felicia's Plate"]
["フェリシアの氷皿_RES", "Felicia's Plate"]
["フェリシアの氷皿_奥", "Felicia's Plate"]
["ノスフェラート＋_ATK", "Fenrir+"]
["ノスフェラート＋_AGI", "Fenrir+"]
["ノスフェラート＋_DEF", "Fenrir+"]
["ノスフェラート＋_RES", "Fenrir+"]
["フェンサリル", "Fensalir"]
["ファーストバイト＋_ATK", "First Bite+"]
["ファーストバイト＋_AGI", "First Bite+"]
["ファーストバイト＋_DEF", "First Bite+"]
["ファーストバイト＋_RES", "First Bite+"]
["魚の弓＋_ATK", "Fishie Bow+"]
["魚の弓＋_AGI", "Fishie Bow+"]
["魚の弓＋_DEF", "Fishie Bow+"]
["魚の弓＋_RES", "Fishie Bow+"]
["炎槍ジークムント", "Flame Siegmund"]
["灼熱のブレス＋_ATK", "Flametongue+"]
["灼熱のブレス＋_AGI", "Flametongue+"]
["灼熱のブレス＋_DEF", "Flametongue+"]
["灼熱のブレス＋_RES", "Flametongue+"]
["フォルクヴァング", "Fólkvangr"]
["フォルブレイズ", "Forblaze"]
["フォルブレイズ_ATK", "Forblaze"]
["フォルブレイズ_AGI", "Forblaze"]
["フォルブレイズ_DEF", "Forblaze"]
["フォルブレイズ_RES", "Forblaze"]
["フォルブレイズ_鬼", "Forblaze"]
["清らかなブーケ＋_ATK", "Fresh Bouquet+"]
["清らかなブーケ＋_AGI", "Fresh Bouquet+"]
["清らかなブーケ＋_DEF", "Fresh Bouquet+"]
["清らかなブーケ＋_RES", "Fresh Bouquet+"]
["イズンの果実", "Fruit of Iðunn"]
["風神弓_ATK", "Fujin Yumi"]
["風神弓_AGI", "Fujin Yumi"]
["風神弓_DEF", "Fujin Yumi"]
["風神弓_RES", "Fujin Yumi"]
["風神弓_従", "Fujin Yumi"]
["風神弓", "Fujin Yumi"]
["ゲイルスケグル", "Geirskögul"]
["ビッグスプーン＋_ATK", "Giant Spoon+"]
["ビッグスプーン＋_AGI", "Giant Spoon+"]
["ビッグスプーン＋_DEF", "Giant Spoon+"]
["ビッグスプーン＋_RES", "Giant Spoon+"]
["ギガスカリバー", "Giga Excalibur"]
["グレイプニル", "Gleipnir"]
["グラディウス", "Gradivus"]
["グラーティア＋_ATK", "Gratia+"]
["グラーティア＋_AGI", "Gratia+"]
["グラーティア＋_DEF", "Gratia+"]
["グラーティア＋_RES", "Gratia+"]
["グラビティ＋_神", "Gravity+"]
["グラビティ＋_幻", "Gravity+"]
["神炎のブレス", "Great Flame"]
["緑の卵＋_ATK", "Green Egg+"]
["緑の卵＋_AGI", "Green Egg+"]
["緑の卵＋_DEF", "Green Egg+"]
["緑の卵＋_RES", "Green Egg+"]
["緑のプレゼント箱＋_ATK", "Green Gift+"]
["緑のプレゼント箱＋_AGI", "Green Gift+"]
["緑のプレゼント箱＋_DEF", "Green Gift+"]
["緑のプレゼント箱＋_RES", "Green Gift+"]
["魔書ギムレー", "Grima's Truth"]
["グリモワール", "Grimoire"]
["グルンアウル＋_ATK", "Gronnowl+"]
["グルンアウル＋_AGI", "Gronnowl+"]
["グルンアウル＋_DEF", "Gronnowl+"]
["グルンアウル＋_RES", "Gronnowl+"]
["遠距離防御の弓＋_ATK", "Guard Bow+"]
["遠距離防御の弓＋_AGI", "Guard Bow+"]
["遠距離防御の弓＋_DEF", "Guard Bow+"]
["遠距離防御の弓＋_RES", "Guard Bow+"]
["羽子板＋_ATK", "Hagoita+"]
["羽子板＋_AGI", "Hagoita+"]
["羽子板＋_DEF", "Hagoita+"]
["羽子板＋_RES", "Hagoita+"]
["破魔矢＋_ATK", "Hama Ya+"]
["破魔矢＋_AGI", "Hama Ya+"]
["破魔矢＋_DEF", "Hama Ya+"]
["破魔矢＋_RES", "Hama Ya+"]
["ハンドベル＋_ATK", "Handbell+"]
["ハンドベル＋_AGI", "Handbell+"]
["ハンドベル＋_DEF", "Handbell+"]
["ハンドベル＋_RES", "Handbell+"]
["倭鉾＋_ATK", "Harmonic Lance+"]
["倭鉾＋_AGI", "Harmonic Lance+"]
["倭鉾＋_DEF", "Harmonic Lance+"]
["倭鉾＋_RES", "Harmonic Lance+"]
["オートクレール_ATK", "Hauteclere"]
["オートクレール_AGI", "Hauteclere"]
["オートクレール_DEF", "Hauteclere"]
["オートクレール_RES", "Hauteclere"]
["オートクレール_奥", "Hauteclere"]
["オートクレール", "Hauteclere"]
["ハイビスカスの本＋_ATK", "Hibiscus Tome+"]
["ハイビスカスの本＋_AGI", "Hibiscus Tome+"]
["ハイビスカスの本＋_DEF", "Hibiscus Tome+"]
["ハイビスカスの本＋_RES", "Hibiscus Tome+"]
["ヒノカの紅薙刀", "Hinoka's Spear"]
["ヒノカの紅薙刀_ATK", "Hinoka's Spear"]
["ヒノカの紅薙刀_AGI", "Hinoka's Spear"]
["ヒノカの紅薙刀_DEF", "Hinoka's Spear"]
["ヒノカの紅薙刀_RES", "Hinoka's Spear"]
["ヒノカの紅薙刀_先", "Hinoka's Spear"]
["フギンの魔卵", "Huginn's Egg"]
["イーヴァルディ", "Ivaldi"]
["南国のジュース＋_ATK", "Juicy Wave+"]
["南国のジュース＋_AGI", "Juicy Wave+"]
["南国のジュース＋_DEF", "Juicy Wave+"]
["南国のジュース＋_RES", "Juicy Wave+"]
["門松＋_ATK", "Kadomatsu+"]
["門松＋_AGI", "Kadomatsu+"]
["門松＋_DEF", "Kadomatsu+"]
["門松＋_RES", "Kadomatsu+"]
["鏡餅＋_ATK", "Kagami Mochi+"]
["鏡餅＋_AGI", "Kagami Mochi+"]
["鏡餅＋_DEF", "Kagami Mochi+"]
["鏡餅＋_RES", "Kagami Mochi+"]
["ブラーウルフ2＋_ATK", "Keen Blárwolf+"]
["ブラーウルフ2＋_AGI", "Keen Blárwolf+"]
["ブラーウルフ2＋_DEF", "Keen Blárwolf+"]
["ブラーウルフ2＋_RES", "Keen Blárwolf+"]
["ブラーウルフ2＋_無", "Keen Blárwolf+"]
["グルンウルフ2＋_ATK", "Keen Gronnwolf+"]
["グルンウルフ2＋_AGI", "Keen Gronnwolf+"]
["グルンウルフ2＋_DEF", "Keen Gronnwolf+"]
["グルンウルフ2＋_RES", "Keen Gronnwolf+"]
["グルンウルフ2＋_無", "Keen Gronnwolf+"]
["ラウアウルフ2＋_ATK", "Keen Rauðrwolf+"]
["ラウアウルフ2＋_AGI", "Keen Rauðrwolf+"]
["ラウアウルフ2＋_DEF", "Keen Rauðrwolf+"]
["ラウアウルフ2＋_RES", "Keen Rauðrwolf+"]
["ラウアウルフ2＋_無", "Keen Rauðrwolf+"]
["レーヴァテイン", "Laevatein"]
["ローローの斧＋_ATK", "Legion's Axe+"]
["ローローの斧＋_AGI", "Legion's Axe+"]
["ローローの斧＋_DEF", "Legion's Axe+"]
["ローローの斧＋_RES", "Legion's Axe+"]
["レイプト", "Leiptr"]
["ベビーキャロット＋_ATK", "Lethal Carrot+"]
