0\Breidablik\\0\0\0\Weapon\Summon Gun Users Only\Kiran\Fires Heroes\-\Kiran; -; -; -; -\Kiran; -; -; -; -\Weapon, Purple, Gun\0,0,0,0,0\\Chill Breidablik\
1041\Ruby Sword+\\300\12\1\Weapon\Sword Users Only\-\Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.\*Ruby Sword*\-; -; -; -; Hinata, Palla, Seth, Stahl\-; -; -; -; Hinata, Palla, Seth, Stahl\Weapon, Red, Blade, Gem\0,12,0,0,0\\\
1050\Killing Edge\\200\7\1\Weapon\Sword Users Only\-\Accelerates Special trigger (cooldown count-1).\*Steel Sword*\-; -; -; Eldigan, Fir, Lon'qu, Luigirasendori, Navarre; -\-; -; Eldigan, Fir, Lon'qu, Luigirasendori, Navarre; -; -\Weapon, Red, Blade, Killer\0,7,0,0,0\\\
1051\Killing Edge+\\300\11\1\Weapon\Sword Users Only\-\Accelerates Special trigger (cooldown count-1).\*Killing Edge*\-; -; -; -; Fir, Lon'qu, Navarre\-; -; -; -; Fir, Lon'qu, Navarre\Weapon, Red, Blade, Killer\0,11,0,0,0\\Slaying Edge+\
1060\Falchion\\400\16\1\Weapon\Sword Users Only\Alm, Chrom(Launch), Lucina, Marth, Marth(Masked)\At the start of every third turn, unit recovers 10 HP.\*Silver Sword*\-; -; -; -; Alm, Chrom(Launch), Lucina, Marth, Marth(Masked)\-; -; -; -; Alm, Chrom(Launch), Lucina, Marth, Marth(Masked)\Weapon, Red, Blade, Dragon-killer\0,16,0,0,0\\\y
1061\Falchion (Mystery)\\400\16\1\Weapon\Sword Users Only\Marth\At the start of every third turn, unit recovers 10 HP.\*Silver Sword*\-; -; -; -; Marth\-; -; -; -; Marth\Weapon, Red, Blade, Dragon-killer\0,16,0,0,0\\\Grants Atk/Spd/Def/Res+2 to allies within 2 spaces during combat. ** At the start of every second turn, unit recovers 10 HP.
1062\Falchion (Awakening)\\400\16\1\Weapon\Sword Users Only\Chrom(Launch), Lucina, Marth(Masked)\At the start of every third turn, unit recovers 10 HP.\*Silver Sword*\-; -; -; -; Chrom(Launch), Lucina, Marth(Masked)\-; -; -; -; Chrom(Launch), Lucina, Marth(Masked)\Weapon, Red, Blade, Dragon-killer\0,16,0,0,0\\Sealed Falchion\Grants Atk/Spd/Def/Res+4 during combat if unit is adjacent to an ally. ** At the start of every second turn, unit recovers 10 HP.
1063\Falchion (Valentia)\\400\16\1\Weapon\Sword Users Only\Alm\At the start of every third turn, unit recovers 10 HP.\*Silver Sword*\-; -; -; -; Alm\-; -; -; -; Alm\Weapon, Red, Blade, Dragon-killer, (E)Brave\0,16,0,0,0\\\If unit's HP = 100% at start of combat and unit initiates combat, unit attacks twice then takes 5 damage after combat. ** At the start of every second turn, unit recovers 10 HP.
1070\Yato\\400\16\1\Weapon\Sword Users Only\Corrin(M)(Launch)\Grants Spd+4 during combat if unit initiates attack.\*Silver Sword*\-; -; -; -; Corrin(M)(Launch)\-; -; -; -; Corrin(M)(Launch)\Weapon, Red, Blade, (R)Overwrite\0,16,0,0,0\\\002222If unit is within 2 spaces of support partner, grants Atk/Spd/Def/Res+4 to that ally during combat. ** Grants Atk/Spd/Def/Res+2.
1080\Durandal\\400\16\1\Weapon\Sword Users Only\Eliwood\Grants Atk+4 during combat if unit initiates attack.\*Silver Sword*\-; -; -; -; Eliwood\-; -; -; -; Eliwood\Weapon, Red, Blade\0,16,0,0,0\\Blazing Durandal\If unit initiates combat, unit granted Atk/Spd+4 during battle. (stacks with base effect for total of Atk+10, Spd+4.) ** If unit initiates combat, grants Atk+6 during combat.
1090\Sol Katti\\400\16\1\Weapon\Sword Users Only\Lyn\If unit initiates combat with HP __<__ 75%, follow-up attacks occur immediately after unit's attack.\*Silver Sword*\-; -; -; -; Lyn\-; -; -; -; Lyn\Weapon, Red, Blade\0,16,0,0,0\\\If unit initiates combat against a foe that can counter and unit's HP __<__ 75%, unit makes a guaranteed follow-up attack.
1100\Binding Blade\\400\16\1\Weapon\Sword Users Only\Roy\Grants Def/Res+2 when this unit is attacked.\*Silver Sword*\-; -; -; -; Roy\-; -; -; -; Roy\Weapon, Red, Blade, (R)Dragon-killer\0,16,0,0,0\\\Unit automatically makes a follow-up attack if attacked at HP __>__ 50%. ** Grants Def/Res+4 when this unit is attacked.
1110\Raijinto\\400\16\1\Weapon\Sword Users Only\Ryoma, Ryoma(Supreme)\Enables counterattack regardless of distance if this unit is attacked.\*Silver Sword*\-; -; -; -; Ryoma, Ryoma(Supreme)\-; -; -; -; Ryoma, Ryoma(Supreme)\Weapon, Red, Blade, DC\0,16,0,0,0\\\
1120\Eckesachs\\400\16\1\Weapon\Sword Users Only\Zephiel\Inflicts Def-4 on foes within 2 spaces through their next actions at the start of each turn.\*Silver Sword*\-; -; -; -; Zephiel\-; -; -; -; Zephiel\Weapon, Red, Blade, (E)DistantDef\0,16,0,0,0\\\If unit is attacked by foe using bow, daggers, magic, or staff, unit receives Def/Res+6 during combat. ** Inflicts Def-6 on foes (excluding dragons) within 2 spaces at the start of each turn, through their next actions.
1130\Siegfried\\400\16\1\Weapon\Sword Users Only\Xander\Enables counterattack regardless of distance if this unit is attacked.\*Silver Sword*\-; -; -; -; Xander\-; -; -; -; Xander\Weapon, Red, Blade, DC\0,16,0,0,0\\\
1140\Sieglinde\\400\16\1\Weapon\Sword Users Only\Eirika(Bonds)\Grants adjacent allies Atk+3 through their next actions at the start of each turn.\*Silver Sword*\-; -; -; -; Eirika(Bonds)\-; -; -; -; Eirika(Bonds)\Weapon, Red, Blade\0,16,0,0,0\\\During combat, grants bonus to Atk/Spd/Def/Res = highest bonus on allies within 2 spaces. Each stat bonus calculated independently. ** At start of turn, grants adjacent allies Atk+4 for 1 turn.
1150\Tyrfing\\400\16\1\Weapon\Sword Users Only\Seliph\Grants Def+4 in battle if unit's HP __<__ 50%.\*Silver Sword*\-; -; -; -; Seliph\-; -; -; -; Seliph\Weapon, Red, Blade, (R)Overwrite\0,16,0,0,0\\Divine Tyrfing\If unit is adjacent to an ally, grants Atk/Def+5 during combat. ** At start of turn, if unit's HP __>__ 50%, grants "If unit's HP > 1 and foe would reduce unit's HP to 0, unit survives with 1 HP (once per combat, does not stack)."
1160\Mystletainn\\400\16\1\Weapon\Sword Users Only\Eldigan\Accelerates Special trigger (cooldown count-1).\*Killing Edge*\-; -; -; -; Eldigan\-; -; -; -; Eldigan\Weapon, Red, Blade, Killer\0,16,0,0,0\\Dark Mystletainn\Grants Atk/Spd/Def/Res+3.  Unit takes 6 damage after combat.
-1100\Levin Sword\\200\10\1\Weapon\Sword Users Only\-\Damage calculated using the lower of foe's Def or Res.\*Steel Sword*\-; -; -; Mathoo; -\-; -; Mathoo; -; -\Weapon, Red, Blade, Frostbite\0,10,0,0,0\X\\
-1101\Levin Sword+\\300\14\1\Weapon\Sword Users Only\-\Damage calculated using the lower of foe's Def or Res.\*Levin Sword*\-; -; -; -; Mathoo\-; -; -; -; Mathoo\Weapon, Red, Blade, Frostbite\0,14,0,0,0\X\\y
1170\Wo Dao\\200\9\1\Weapon\Sword Users Only\-\Grants +10 to damage when Special triggers.\*Steel Sword*\-; -; -; Athena, Karel, Karla, Marisa, Mia, Minus; -\-; -; Athena, Karel, Karla, Marisa, Mia, Minus; -; -\Weapon, Red, Blade, WoDao\0,9,0,0,0\\\
1171\Wo Dao+\\300\13\1\Weapon\Sword Users Only\-\Grants +10 to damage when Special triggers.\*Wo Dao*\-; -; -; -; Athena, Karel, Marisa\-; -; -; -; Athena, Karel, Marisa\Weapon, Red, Blade, WoDao\0,13,0,0,0\\\1y
1180\Ragnell\\400\16\1\Weapon\Sword Users Only\Ike, Ike(Vanguard)\Enables counterattack regardless of distance if this unit is attacked.\*Silver Sword*\-; -; -; -; Ike, Ike(Vanguard)\-; -; -; -; Ike, Ike(Vanguard)\Weapon, Red, Blade, DC\0,16,0,0,0\\\
1190\Regal Blade\\400\16\1\Weapon\Sword Users Only\Lloyd\If foe's HP is 100% when combat starts, unit receives Atk/Spd+2 during combat.\*Silver Sword*\-; -; -; -; Lloyd\-; -; -; -; Lloyd\Weapon, Red, Blade\0,16,0,0,0\\\If unit is within 2 spaces of an infantry magic ally, grants Atk/Spd/Def/Res+3 during combat. ** If foe's HP is 100% when combat starts, unit receives Atk/Spd+3 during combat.
1200\Zanbato\\200\10\1\Weapon\Sword Users Only\-\-\*Steel Sword*\-; -; -; Gray; -\-; -; Gray; -; -\Weapon, Red, Blade, Horse-killer\0,10,0,0,0\\\
1201\Zanbato+\\300\14\1\Weapon\Sword Users Only\-\-\*Zanbato*\-; -; -; -; Gray\-; -; -; -; Gray\Weapon, Red, Blade, Horse-killer\0,14,0,0,0\\\If in combat against a cavalry foe, nullifies foe's bonuses (from skills like Fortify, Rally, etc.) during combat.
1210\Slaying Edge\\200\10\1\Weapon\Sword Users Only\-\Accelerates Special trigger (cooldown count-1).\*Steel Sword*\-; -; -; Ares, Joshua, Rutger, Saber; -\-; -; Ares, Joshua, Rutger, Saber; -; -\Weapon, Red, Blade, Killer\0,10,0,0,0\\\
1211\Slaying Edge+\\300\14\1\Weapon\Sword Users Only\-\Accelerates Special trigger (cooldown count-1).\*Slaying Edge*\-; -; -; -; Rutger, Saber\-; -; -; -; Rutger, Saber\Weapon, Red, Blade, Killer\0,14,0,0,0\\\y
1220\Blazing Durandal\\400\16\1\Weapon\Sword Users Only\Eliwood, Roy(Brave)\Grants Atk +3. If unit's Atk > foe's Atk, unit gains Special cooldown charge +1.\*Silver Sword*\-; -; -; -; Roy(Brave)\-; -; -; -; Roy(Brave)\Weapon, Red, Blade, Atk\0,19,0,0,0\\\If unit initiates combat, grants Spd+7 and Def+10 during combat and foe cannot counterattack. ** Grants Atk+3.  If unit initiates combat, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 to foe per attack. (Only highest value applied.  Does not stack.)
1230\Amiti\\400\11\1\Weapon\Sword Users Only\Elincia\Spd-2. Attack twice when initiating combat.\*Silver Sword*\-; -; -; -; Elincia\-; -; -; -; Elincia\Weapon, Red, Blade, Brave\0,11,-2,0,0\\\(a)-1If unit initiates combat, grants Atk/Spd+4 during combat.
1240\Alondite\\400\16\1\Weapon\Sword Users Only\Black Knight, Zelgius\Enables counterattack regardless of distance if this unit is attacked.\*Silver Sword*\-; -; -; -; Black Knight, Zelgius\-; -; -; -; Black Knight, Zelgius\Weapon, Red, Blade, DC\0,16,0,0,0\\\
1250\Divine Tyrfing\\400\16\1\Weapon\Sword Users Only\Seliph, Sigurd\Grants Res+3.  If in combat against foe using magic, unit receives 50% less damage from the first attack.\*Silver Sword*\-; -; -; -; Sigurd\-; -; -; -; Sigurd\Weapon, Red, Blade, Res\0,16,0,0,3\\\
1260\Ayra's Blade\\400\16\1\Weapon\Sword Users Only\Ayra\Grants Spd+3. If unit's Spd - foe's Spd __>__ 1, gain Special cooldown charge +1 per attack. (If similar skill also used, only highest value applied.)\*Silver Sword*\-; -; -; -; Ayra\-; -; -; -; Ayra\Weapon, Red, Blade, Spd\0,16,3,0,0\\\
1270\Resolute Blade\\400\16\1\Weapon\Sword Users Only\Mia\Grants Atk+3. Grants +10 to damage when Special triggers.\*Wo Dao*\-; -; -; -; Mia\-; -; -; -; Mia\Weapon, Red, Blade, WoDao, Atk\0,19,0,0,0\\\
1280\Audhulma\\400\16\1\Weapon\Sword Users Only\Joshua\Accelerates Special trigger (cooldown count-1). Grants Res+5.\*Slaying Edge*\-; -; -; -; Joshua\-; -; -; -; Joshua\Weapon, Red, Blade, Killer, Res\0,16,0,0,5\\\
1290\Armorsmasher\\200\10\1\Weapon\Sword Users Only\-\-\*Steel Sword*\-; -; -; Ooocast; -\-; -; Ooocast; -; -\Weapon, Red, Blade, Armor-killer\0,10,0,0,0\\\
1291\Armorsmasher+\\300\14\1\Weapon\Sword Users Only\-\-\*Armorsmasher*\-; -; -; -; -\-; -; -; -; -\Weapon, Red, Blade, Armor-killer\0,14,0,0,0\\\If in combat against an armored foe, nullifies foe's bonuses (from skills like Fortify, Rally, etc.) during combat.
1300\Dark Greatsword\\400\16\1\Weapon\Sword Users Only\Siegbert\Grants Atk/Spd+4 during combat if unit initiates combat.\*Silver Sword*\-; -; -; -; Siegbert\-; -; -; -; Siegbert\Weapon, Red, Blade\0,16,0,0,0\\\
1310\Firesweep Sword\\200\11\1\Weapon\Sword Users Only\-\Unit and enemies cannot use counterattacks.\*Steel Sword*\-; -; -; Soleil; -\-; -; Soleil; -; -\Weapon, Red, Blade, Firesweep\0,11,0,0,0\\\
1311\Firesweep Sword+\\300\15\1\Weapon\Sword Users Only\-\Unit and enemies cannot use counterattacks.\*Firesweep Sword*\-; -; -; -; Soleil\-; -; -; -; Soleil\Weapon, Red, Blade, Firesweep\0,15,0,0,0\\\
1320\Kadomatsu\\200\10\1\Weapon\Sword Users Only\-\Grants Def/Res+2 during combat to allies within 2 spaces.\*Steel Sword*\-; -; -; Camilla(Winter); -\-; -; Camilla(Winter); -; -\Weapon, Red, Blade, Seasonal, NewYear's\0,10,0,0,0\\\
1321\Kadomatsu+\\300\14\1\Weapon\Sword Users Only\-\Grants Def/Res+2 during combat to allies within 2 spaces.\*Kadomatsu*\-; -; -; -; Camilla(Winter)\-; -; -; -; Camilla(Winter)\Weapon, Red, Blade, Seasonal, NewYear's\0,14,0,0,0\\\y
1330\Laevatein\\400\16\1\Weapon\Sword Users Only\Laevatein\Grants Atk+3. Adds total bonuses on unit to damage dealt.\*Silver Sword*\-; -; -; -; Laevatein\-; -; -; -; Laevatein\Weapon, Red, Blade, Bladetome, Atk\0,19,0,0,0\\\
1340\Wing Sword\\400\16\1\Weapon\Sword Users Only\Caeda\-\-\-; -; -; -; -\-; -; -; -; Caeda\Weapon, Red, Blade, Horse-killer, Armor-killer\0,16,0,0,0\\\If unit's Spd - foe's Spd __>__ 1, unit gains Special cooldown charge +1 per attack.  (If using other similar skill, only highest value applied.)
1350\Beloved Zofia\\400\16\1\Weapon\Sword Users Only\Celica(Fallen)\Grants Def+3. If unit's HP=100% at the start of combat, grants Atk/Spd/Def/Res+4, but if unit attacked, unit takes 4 damage after combat.\*Silver Sword*\-; -; -; -; Celica(Fallen)\-; -; -; -; Celica(Fallen)\Weapon, Red, Blade, Def\0,16,0,3,0\\\
1360\Niu\\400\16\1\Weapon\Sword Users Only\Laegjarn\Grants Spd+3. Adds 50% of total bonuses on foe to unit's Atk/Spd/Def/Res during combat.\*Silver Sword*\-; -; -; -; Laegjarn\-; -; -; -; Laegjarn\Weapon, Red, Blade, Spd\0,16,3,0,0\\\
1370\Sealed Falchion\\400\16\1\Weapon\Sword Users Only\Chrom(Branded), Chrom(Launch), Lucina, Marth(Masked)\If unit's HP<100% at start of combat, grants Atk/Spd/Def/Res+5 during combat\*Silver Sword*\-; -; -; -; Chrom(Branded)\-; -; -; -; Chrom(Branded)\Weapon, Red, Blade, Dragon-killer\0,16,0,0,0\\\
1380\Light Brand\\400\16\1\Weapon\Sword Users Only\Leif, Oxorsid\Grants Def+3. If foe's Def __>__ foe's Res+5, deals +7 damage.\*Silver Sword*\-; -; -; -; Leif, Oxorsid\-; -; -; -; Leif, Oxorsid\Weapon, Red, Blade, Photon, Def\0,16,0,3,0\\\
1390\Meisterschwert\\400\11\1\Weapon\Sword Users Only\Reinhardt(World)\Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.)\*Silver Sword*\-; -; -; -; Reinhardt(World)\-; -; -; -; Reinhardt(World)\Weapon, Red, Blade, Brave\0,11,-5,0,0\\\
1400\Dark Mystletainn\\400\16\1\Weapon\Sword Users Only\Ares, Eldigan\Accelerates Special trigger (cooldown count-1).  If Special triggers before or during combat, grants Special cooldown count-2 after combat.\*Slaying Edge*\-; -; -; -; Ares\-; -; -; -; Ares\Weapon, Red, Blade, Killer\0,16,0,0,0\\\
1410\Safeguard\\200\10\1\Weapon\Sword Users Only\-\Grants Def+7 when foe initiates combat.\*Steel Sword*\-; -; -; Lene; -\-; -; Lene; -; -\Weapon, Red, Blade\0,10,0,0,0\\\
1411\Safeguard+\\300\14\1\Weapon\Sword Users Only\-\Grants Def+7 when foe initiates combat.\*Safeguard*\-; -; -; -; Lene\-; -; -; -; Lene\Weapon, Red, Blade\0,14,0,0,0\\\y
1420\Vassal's Blade\\400\16\1\Weapon\Sword Users Only\Karla\Accelerates Special trigger (cooldown count -1).  If unit's Spd > foe's Spd, boosts damage dealt by 70% of difference between stats.  (Maximum bonus of +7 damage from a Spd difference of 10.  Combos with Phantom Spd.)\*Wo Dao*\-; -; -; -; Karla\-; -; -; -; Karla\Weapon, Red, Blade, Killer, ElectroBall\0,16,0,0,0\\\
1430\Skuld\\400\16\1\Weapon\Sword Users Only\Olivia(Traveler)\If Sing or Dance is used, grants Atk/Spd/Def/Res+3 to target.\*Silver Sword*\-; -; -; -; Olivia(Traveler)\-; -; -; -; Olivia(Traveler)\Weapon, Red, Blade, DanceRally\0,16,0,0,0\\\
1440\Royal Sword\\400\16\1\Weapon\Sword Users Only\Celica(Brave)\Grants Spd+3. If unit is within 2 spaces of an ally, grants unit Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)\*Silver Sword*\-; -; -; -; Celica(Brave)\-; -; -; -; Celica(Brave)\Weapon, Red, Blade, Spd\0,16,3,0,0\\\
1450\Exalted Falchion\\400\16\1\Weapon\Sword Users Only\Marth, Marth(King)\Grants Spd+3.  Grants bonus to Atk/Spd/Def/Res = current bonus on each of unit's stats (each stat calculated independently.)\*Silver Sword*\-; -; -; -; Marth(King)\-; -; -; -; Marth(King)\Weapon, Red, Blade, Dragon-killer, BuffStuffer, Spd\0,16,3,0,0\\\
1460\Barrier Blade\\200\10\1\Weapon\Sword Users Only\-\Grants Res+7 when foe initiates combat.\*Steel Sword*\-; -; -; Silvia; -\-; -; Silvia; -; -\Weapon, Red, Blade, Barrier\0,10,0,0,0\\\
1461\Barrier Blade+\\300\14\1\Weapon\Sword Users Only\-\Grants Res+7 when foe initiates combat.\*Barrier Blade*\-; -; -; -; Silvia\-; -; -; -; Silvia\Weapon, Red, Blade, Barrier\0,14,0,0,0\\\y
1470\Missiletainn (Dark)\\400\16\1\Weapon\Sword Users Only\Owain\Accelerates Special trigger (cooldown count-1).  Grants Special cooldown charge +1 per foe's attack during combat.  (Does not stack.  Special cooldown charge granted even if foe's attack deals 0 damage.)\*Silver Sword*\-; -; -; -; Owain\-; -; -; -; Owain\Weapon, Red, Blade, Killer\0,16,0,0,0\\\
1480\Storm Sieglinde\\400\16\1\Weapon\Sword Users Only\Eirika(Graceful), Eirika(Bonds)\Grants Atk+3.  If number of foes within 2 spaces (excluding target) __>__ number of allies within 2 spaces (excluding unit), grants Def/Res+3 and special cooldown charge +1 during unit's attack during combat.  (Only highest value applied.  Does not stack.)\*Silver Sword*\-; -; -; -; Eirika(Graceful)\-; -; -; -; Eirika(Graceful)\Weapon, Red, Blade, Atk\0,19,0,0,0\\\
1490\Solitary Blade\\400\16\1\Weapon\Sword Users Only\Lon'qu\Accelerates Special trigger (cooldown count -1)\-\-; -; -; -; -\-; -; -; -; Lon'qu\Weapon, Red, Blade, Killer\0,16,0,0,0\\\Grants Atk/Spd+5.  Inflicts Def/Res-5.
1500\Scarlet Sword\\400\16\1\Weapon\Sword Users Only\Navarre\Accelerates Special trigger (cooldown count-1).\-\-; -; -; -; -\-; -; -; -; Navarre\Weapon, Red, Blade, Killer, (E)SpiralPulse\0,16,0,0,0\\\At the start of turn 1, grants Special cooldown count-2.
1510\Gjoll\\400\16\1\Weapon\Sword Users Only\Hrid\Grants Atk+3.  If a penalty inflicted by a skill like Panic or Threaten and/or a negative status effect (preventing counterattacks or resticting movement) is active on a foe, unit makes a guaranteed follow-up attack and foe cannot.\*Silver Sword*\-; -; -; -; Hrid\-; -; -; -; Hrid\Weapon, Red, Blade, Atk\0,19,0,0,0\\\
1520\Golden Dagger\\400\16\1\Weapon\Sword Users Only\Saber\Accelerates Special trigger (cooldown count-1).\-\-; -; -; -; -\-; -; -; -; Saber\Weapon, Red, Blade, Killer, (E)DC\0,16,0,0,0\\\(e)0-3At start of combat, if Special is ready, grants Atk/Spd/Def/Res+3 during combat and unit can counterattack regardless of foe's range.
1530\Gladiator's Blade\\400\16\1\Weapon\Sword Users Only\Ogma\If unit's Atk > foe's Atk, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)\-\-; -; -; -; -\-; -; -; -; Ogma\Weapon, Red, Blade\0,16,0,0,0\\\If unit is within 2 spaces of a flying or infantry ally, grants Atk/Spd+4 during combat.
1540\Whitewing Blade\\400\16\1\Weapon\Sword Users Only\Palla\If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.\-\-; -; -; -; -\-; -; -; -; Palla\Weapon, Red, Blade, Gem\0,16,0,0,0\\\If the number of flying allies within 2 spaces __>__ 2, grants Atk/Spd/Def/Res+3 during combat. If unit initiates combat, unit attacks twice.
1550\Sokkvabekkr\\400\16\1\Weapon\Sword Users Only\Lif\If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+4 during combat, and unit makes a guaranteed follow-up attack, but after combat, if unit attacked, deals 20 damage to nearest ally.\*Silver Sword*\-; -; -; -; Lif\-; -; -; -; Lif\Weapon, Red, Blade\0,16,0,0,0\\\
1560\Hikami\\400\16\1\Weapon\Sword Users Only\Gunnthra(Winter)\Grants Spd+3. At start of turn, inflicts Atk/Spd/Def/Res-4 on nearest foes within 4 spaces through their next actions.\*Silver Sword*\-; -; -; -; Gunnthra(Winter)\-; -; -; -; Gunnthra(Winter)\Weapon, Red, Blade, Seasonal, NewYear's, Spd\0,16,3,0,0\\\
1570\Geishun\\200\10\1\Weapon\Sword Users Only\-\At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.\*Steel Sword*\-; -; -; Hrid(Winter); -\-; -; Hrid(Winter); -; -\Weapon, Red, Blade, Seasonal, NewYear's\0,10,0,0,0\\\
1571\Geishun+\\300\14\1\Weapon\Sword Users Only\-\At start of turn, inflicts Atk-7 on foe on the enemy team with the highest Atk through its next action.\*Geishun*\-; -; -; -; Hrid(Winter)\-; -; -; -; Hrid(Winter)\Weapon, Red, Blade, Seasonal, NewYear's\0,14,0,0,0\\\y
